Permalink,Post Message,Posted,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment
https://www.facebook.com/underthebutton/posts/10154854094060855,"On his scooter, Bradley lives in the fast lane.",11/25/17 12:00,4211,8410,66,0,52
https://www.facebook.com/underthebutton/posts/10154854089555855,&quot;I don't see why people need to hate on my lifestyle.&quot;,11/25/17 10:00,1456,2587,11,0,4
https://www.facebook.com/underthebutton/posts/10154852185140855,Talk about a cool professor.,11/25/17 7:00,473,848,9,0,0
https://www.facebook.com/underthebutton/posts/10154852183070855,It's about time!,11/24/17 17:00,159,251,1,0,0
https://www.facebook.com/underthebutton/posts/10154852697840855,"&quot;It sounds pretty rad, and I think itês pretty hipster too.&quot;",11/24/17 14:04,4607,8573,96,1,39
https://www.facebook.com/underthebutton/posts/10154852165245855,&quot;Now they'll think Iêm super popular.&quot;,11/24/17 10:00,2652,4811,42,1,2
https://www.facebook.com/underthebutton/posts/10154843782780855,"Breakfast: FaceTime your uncle and watch him eat cereal with gummy bears in it for breakfast. It sounds weird, but he seems to like it.",11/24/17 8:00,678,1170,2,0,0
https://www.facebook.com/underthebutton/posts/10154843823690855,Make sure your whole extended family has seen this so they're informed for the big politics debate in the living room.,11/23/17 17:00,1480,2480,5,1,2
https://www.facebook.com/underthebutton/posts/10154849751130855,It really makes you think __,11/23/17 12:00,1312,2347,9,1,1
https://www.facebook.com/underthebutton/posts/10154843825665855,"When your fancy young aunt comes to Thanksgiving dinner, you know you can expect a cheek kiss. But how many?",11/23/17 10:00,640,1227,2,0,0
https://www.facebook.com/underthebutton/posts/10154843786965855,"I can have more than one glass of wine, Mom. I'm 20.",11/23/17 8:00,1279,2206,6,0,2
https://www.facebook.com/underthebutton/posts/10154843820900855,Really good point to bring up at the Thanksgiving dinner table.,11/22/17 17:00,429,719,6,0,0
https://www.facebook.com/underthebutton/posts/10154846536000855,IRS who?,11/22/17 14:00,1424,2472,37,1,1
https://www.facebook.com/underthebutton/posts/10154846535040855,Maybe Bobby has some friends who are around?,11/22/17 12:00,945,1639,9,0,4
https://www.facebook.com/underthebutton/posts/10154846533140855,Thank you very much for your consideration.,11/22/17 10:00,1333,2334,10,1,1
https://www.facebook.com/underthebutton/posts/10154843787555855,Bring your cover letter to Thanksgiving dinner to show your annoying cousins how employable you are.,11/22/17 8:00,716,1256,2,0,0
https://www.facebook.com/underthebutton/posts/10154843819970855,Campus is unusually empty. Now is the perfect time.,11/21/17 17:00,737,1332,4,0,0
https://www.facebook.com/underthebutton/posts/10154845668345855,"The closest Dennyês is 6.2 miles away, in Clifton Heights.",11/21/17 14:00,636,1129,9,0,0
https://www.facebook.com/underthebutton/posts/10154843799035855,It's always &quot;Fill out the PULSE Survey&quot; and never &quot;What's new with you?&quot;,11/21/17 12:00,1487,2639,41,0,1
https://www.facebook.com/underthebutton/posts/10154843797165855,"No, the turkeys haven't been charged with any crimes.",11/21/17 10:00,915,1570,9,0,0
https://www.facebook.com/underthebutton/posts/10154843816435855,We ____ need ____ more ____ people ____ like ____ this. ____,11/21/17 8:00,157,244,3,0,0
https://www.facebook.com/underthebutton/posts/10154843493485855,Great to hear!,11/20/17 17:49,2678,4893,105,1,4
https://www.facebook.com/underthebutton/posts/10154842852070855,It's time for heads to roll.,11/20/17 14:30,2231,4095,48,0,2
https://www.facebook.com/underthebutton/posts/10154842647490855,Bad news for Penn students.,11/20/17 12:35,2046,3722,50,1,1
https://www.facebook.com/underthebutton/posts/10154842258150855,&quot;It's not a priority for me right now.&quot;,11/20/17 10:30,4039,7291,46,2,35
https://www.facebook.com/underthebutton/posts/10154841530155855,"Great, just what we needed!",11/20/17 8:30,1799,3456,49,0,0
https://www.facebook.com/underthebutton/posts/10154839340230855,"Sorry, Joe, your talk on campus this week still puts your credentials behind those of the chosen candidates. Better luck next semester.",11/19/17 17:30,852,1539,13,0,0
https://www.facebook.com/underthebutton/posts/10154840086530855,LaTeX is the new latex.,11/19/17 14:45,4532,8606,84,2,26
https://www.facebook.com/underthebutton/posts/10154840028015855,"Oh, you're from the Continental U.S.? Weak.",11/19/17 12:50,1930,3568,30,1,12
https://www.facebook.com/underthebutton/posts/10154839307935855,"&quot;Weêre doing initiation though, so Iêm probably going to be a little drunk. Hope thatês cool.&quot;",11/19/17 9:30,2113,3781,29,0,3
